France,Italy,Spain,Portugal,Netherlands,Belgium,Switzerland,Portugal
Le Mans,Acerenza,Diocese,Diocese,Diocese,Antwerp,Basel,Chelmo
Le Puy-en-Velay,Acerra,,,,Brugge,Geneva,Gniezo
Lectoure,Acqui,Santiago de Compostela,Algarve,Groningen-Leeuwarden,Ghent,Lausanne,Koszalin-Kolobrzeg
Lescar,Adria-Rovigo,Albarracin,Angra,Haarlem-Amsterdam,Liege,Sion,Lebus
Limoges,Agrigento,Almeria,Braga,Roermond,Mechelen,,Lublin
Lisieux,Alba Pompeia,Astorga,Branco,Utrecht,Namur,,Lviv
Lodaive,Albano,Avila,Evora,,Tournai,,Pelplin
Lombez,Albenga-Imperia,Barbastro-Monzon,Guarda,,Ypres,,Plock
Luson,Ales-Terralba,Barcelona,Lamego,,,,Poznan
Lyon,Alesssano,Burgos,Leiria-Fatima,,,,Przemysl
Macon,Alghero-Bosa,Calzada-Logrono,Lisbon,,,,Veszprem
Marseille,Alife-Caiazzo,Canaries,Porto,,,,Warmia
Maurienne,Allesano,Cartagena,,,,,Wloclawek
Meaux,Amalfi,Ceuta,,,,,Wroclaw
Mechelen,Anagni-Alatri,Clonfert,,,,,
Mende,Ancona,Compostela,,,,,
Metz,Ancona-Osimo,Cordoba,,,,,
Mirepoix,Andria,Coria-Caceres,,,,,
Montauban,Aosta,Cuenca,,,,,
Montpellier,Aquila,Frontera,,,,,
Nantes,Aquileia,Gerona,,,,,
Narbonne,Arezzo-Cortona-Sansepolcro,Girona,,,,,
Nevers,Argentano-Scalea,Granada,,,,,
Nice,Asti,Guadix,,,,,
Nimes,Aurunca,Huesca,,,,,
Noyon,Avellino,Jaca,,,,,
Oloron,Aversa,Jaen,,,,,
Orange,Avezzano,Laguna,,,,,
Orleans,Bari-Bitonto,Lleida,,,,,
Pamiers,Belluno-Feltre,Lugo,,,,,
Paris,Benevento,Majorca,,,,,
Perigueux,Bergamo,Malaga,,,,,
Perpignan,Bologna,Mallorca,,,,,
Perpignan-Elne,Bolzano-Brixen,Merida-Badajoz,,,,,
Poitiers,Brendisi,Mondonedo-Ferrol,,,,,
Puy-en-Velay,Brescia,Orihuela-Alicante,,,,,
Quimper,Brindisi,Osma-Soria,,,,,
Reims,Brindisi-Ostuni,Ourense,,,,,
Rennes,Cagliari,Oviedo,,,,,
Rieux,Calabria-Bova,Palencia,,,,,
Riez,Calvi,Plasencia,,,,,
Rochelle,Camerino,Rodrigo,,,,,
Rodez,Campobasso-Boiano,Salamanca,,,,,
Rouen,Capua,Segorbe-Castellon,,,,,
Saint-Bertrand-de-Comminges,Caserta,Segovia,,,,,
Saint-Brieuc,Castellana,Seville,,,,,
Saint-Die,Castellaneta,Siguenza-Guadalajara,,,,,
Saint-Flour,Castello,Solsona,,,,,
Saint-Lizier,Catania,Tarazona,,,,,
Saint-Malo,Catanzaro-Squillace,Tarragona,,,,,
Saint-Omer,Cava,Toledo,,,,,
Saint-Papoul,Cefalu,Tortosa,,,,,
Saint-Paul-Trois-Chateaux,Cervia,Tudela,,,,,
Saint-Pol-de-Leon,Cesena-Sarsina,Tui-Vigo,,,,,
Saint-Pons,Chieti,Urgell,,,,,
Saintes,Chieti-Vasto,Valencia,,,,,
Sarlat,Chioggia,Valladolid,,,,,
Seez,Como,Vic,,,,,
Senez,Concordia-Pordenone,Zamora,,,,,
Senlis,Conversano-Monopoli,Zaragoza,,,,,
Sens,Cordoba,,,,,,
Sion,Cornwall,,,,,,
Sisteron,Cosenza-Bisignano,,,,,,
Soissons,Crema,,,,,,
Strasbourg,Cremona,,,,,,
Tarbes,Emilia-Guastalla,,,,,,
Tarbes-et-Lourdes,Esztergom,,,,,,
Therouanne,Faenza,,,,,,
Toul,Faenza-Modigliana,,,,,,
Toulon,Fano-Fossombrone-Cagli-Pergola,,,,,,
Toulouse,Fermo,,,,,,
Tournai,Ferrara-Comacchio,,,,,,
Tours,Fidenza,,,,,,
Treguier,Fiesole,,,,,,
Troyes,Florence,,,,,,
Tulle,Foligno,,,,,,
Vaison,Fonti,,,,,,
Valence,Forli-Bertinoro,,,,,,
Vannes,Fossano,,,,,,
Verdun,Frascati,,,,,,
Vienne,Frigento,,,,,,
Viviers,Frosinone-Veroli-Ferentino,,,,,,
,Gaeta,,,,,,
,Genoa,,,,,,
,Goti,,,,,,
,Grosseto,,,,,,
,Guardialfiera,,,,,,
,Gubbio,,,,,,
,Iesi,,,,,,
,Imola,,,,,,
,Inferiore-Sarno,,,,,,
,Irpino-Lacedonia,,,,,,
,Ischia,,,,,,
,Isernia-Venafro,,,,,,
,Ivrea,,,,,,
,Jesi,,,,,,
,Kammin,,,,,,
,Kotor,,,,,,
,Kralove,,,,,,
,Lamzia Terme,,,,,,
,Lanciano-Ortona,,,,,,
,Latina-Terracina-Sezze-Priverno,,,,,,
,Lecce,,,,,,
,Leuca,,,,,,
,Lipari,,,,,,
,Locri-Gerace,,,,,,
,Lodi,,,,,,
,Lombardi-Conza-Nusco-Bisaccia,,,,,,
,Lucania,,,,,,
,Lucca,,,,,,
,Lucera,,,,,,
,Lucera-Troia,,,,,,
,Macerata-Tolentino-Recanati-Cingoli-T..,,,,,,
,Mamertina-Palmi,,,,,,
,Manfredonia,,,,,,
,Marche,,,,,,
,Marino-Montefeltro,,,,,,
,Marittima-Piombino,,,,,,
,Mela,,,,,,
,Melfi-Rapolla-Venosa,,,,,,
,Milan,,,,,,
,Mileto-Nicotera-Tropea,,,,,,
,Miniato,,,,,,
,Mirteto,,,,,,
,Modena-Nonantola,,,,,,
,Modon,,,,,,
,Molfetta-Ruvo-Giovinazzo-Terlizzi,,,,,,
,Mondovi,,,,,,
,Monferrato,,,,,,
,Monreale,,,,,,
,Montalcino,,,,,,
,Monte Cassino,,,,,,
,Naples,,,,,,
,Nardo-Gallipoli,,,,,,
,Nocera d'Pagani,,,,,,
,Nola,,,,,,
,Novara,,,,,,
,Nuoro,,,,,,
,Nuovo,,,,,,
,Oria,,,,,,
,Oristano,,,,,,
,Ortona,,,,,,
,Orvieto-Todi,,,,,,
,Ostia,,,,,,
,Padua,,,,,,
,Palermo,,,,,,
,Palestrina,,,,,,
,Parma,,,,,,
,Patti,,,,,,
,Pavia,,,,,,
,Pesaro,,,,,,
,Pescara-Penne,,,,,,
,Piacenza-Bobbio,,,,,,
,Piceno,,,,,,
,Pieve,,,,,,
,Pisa,,,,,,
,Pisaro,,,,,,
,Pistoia,,,,,,
,Pitigliano-Sovana-Orbetello,,,,,,
,Pompeia,,,,,,
,Potenza,,,,,,
,Pozzuoli,,,,,,
,Rapolla,,,,,,
,Ravenna,,,,,,
,Reggio Emilia,,,,,,
,Remo,,,,,,
,Rieti,,,,,,
,Rossano-Cariati,,,,,,
,Rotondo,,,,,,
,Rufina,,,,,,
,Sabina Poggio-Mirteto,,,,,,
,Salerno-Campagna-Acerno,,,,,,
,Saluzzo,,,,,,
,San Marco,,,,,,
,San't Agata de Goti,,,,,,
,Sarno,,,,,,
,Satriano,,,,,,
