,name,from,to,biography,url,bishop_type,orig_url_page
0,"Marc-Antoine Berdolet
",1802,1809,,"https://de.wikipedia.org/""/wiki/Marc-Antoine_Berdolet",0,Liste_der_Bischöfe_von_Aachen
1,"Jean-Denis-François Camus
",1810,1814,,"https://de.wikipedia.org/""/wiki/Jean-Denis-Fran%C3%A7ois_Camus",0,Liste_der_Bischöfe_von_Aachen
2,"Joseph Heinrich Peter Vogt
",1930,1937,,"https://de.wikipedia.org/""/wiki/Joseph_Heinrich_Peter_Vogt",0,Liste_der_Bischöfe_von_Aachen
3,"Hermann Joseph Sträter
",1938,1943,,"https://de.wikipedia.org/""/wiki/Hermann_Joseph_Str%C3%A4ter",0,Liste_der_Bischöfe_von_Aachen
4,"Johannes Joseph van der Velden
",1943,1954,,"https://de.wikipedia.org/""/wiki/Johannes_Joseph_van_der_Velden",0,Liste_der_Bischöfe_von_Aachen
5,"Johannes Pohlschneider
",1954,1974,,"https://de.wikipedia.org/""/wiki/Johannes_Pohlschneider",0,Liste_der_Bischöfe_von_Aachen
6,"Klaus Hemmerle
",1975,1994,,"https://de.wikipedia.org/""/wiki/Klaus_Hemmerle",0,Liste_der_Bischöfe_von_Aachen
7,"Heinrich Mussinghoff
",1994,2015,,"https://de.wikipedia.org/""/wiki/Heinrich_Mussinghoff",0,Liste_der_Bischöfe_von_Aachen
8,"Creszenz I.
",80,103,,,0,Liste_der_Bischöfe_von_Mainz
9,"Marinus I.
",103,109,,,0,Liste_der_Bischöfe_von_Mainz
10,"Creszenz II.
",109,127,,,0,Liste_der_Bischöfe_von_Mainz
11,"Cyriacus
",127,141,,,0,Liste_der_Bischöfe_von_Mainz
12,"Hilarius
",141,161,,,0,Liste_der_Bischöfe_von_Mainz
13,"Martin I.
",161,175,,,0,Liste_der_Bischöfe_von_Mainz
14,"Celsus
",175,197,,,0,Liste_der_Bischöfe_von_Mainz
15,"Lucius
",197,207,,,0,Liste_der_Bischöfe_von_Mainz
16,"Gotthard
",207,222,,,0,Liste_der_Bischöfe_von_Mainz
17,"Sophron
",222,230,,,0,Liste_der_Bischöfe_von_Mainz
18,"Heriger I.
",230,234,,,0,Liste_der_Bischöfe_von_Mainz
19,"Ruther
",234,254,,,0,Liste_der_Bischöfe_von_Mainz
20,"Avitus
",254,276,,,0,Liste_der_Bischöfe_von_Mainz
21,"Ignatius
",276,289,,,0,Liste_der_Bischöfe_von_Mainz
22,"Dionysius
",289,309,,,0,Liste_der_Bischöfe_von_Mainz
23,"Ruprecht I.
",309,321,,,0,Liste_der_Bischöfe_von_Mainz
24,"Adalhard
",321,323 oder 325,,,0,Liste_der_Bischöfe_von_Mainz
25,"Lucius Annaeus
",325 oder 331,343 oder 350,,,0,Liste_der_Bischöfe_von_Mainz
26,"Crescens
","
","
",,"https://de.wikipedia.org/""/wiki/Crescens",0,Liste_der_Bischöfe_von_Mainz
27,"Mar(t)inus
",um 350,"
",,,0,Liste_der_Bischöfe_von_Mainz
28,"Suffronius (Sophronius)
",um 368 (?),"
",,,0,Liste_der_Bischöfe_von_Mainz
29,"Bothadus (Bodardus, Bathodus, Bathadus)
","
","
",,,0,Liste_der_Bischöfe_von_Mainz
30,"Ruthard (Ruthardus)
","
","
",,"https://de.wikipedia.org/""/wiki/Ruthard_von_Mainz",0,Liste_der_Bischöfe_von_Mainz
31,"Aureus
",vor 406,436,,"https://de.wikipedia.org/""/wiki/Aureus_(Mainz)",0,Liste_der_Bischöfe_von_Mainz
32,"Theomast (Theonestus)
","
","
",,"https://de.wikipedia.org/""/wiki/Theomast",0,Liste_der_Bischöfe_von_Mainz
33,"Maximus
","
","
",,"https://de.wikipedia.org/""/wiki/Maximus_(Mainz)",0,Liste_der_Bischöfe_von_Mainz
34,"Sidonius
","
",589,,"https://de.wikipedia.org/""/wiki/Sidonius",0,Liste_der_Bischöfe_von_Mainz
35,"Sigimund (Sigimundus, fälschlicherweise auch Siegbert, Sigiberto)
",587/589,610,,"https://de.wikipedia.org/""/wiki/Sigimund",0,Liste_der_Bischöfe_von_Mainz
36,"Leudegasius
",612,"
",,"https://de.wikipedia.org/""/wiki/Leudegasius",0,Liste_der_Bischöfe_von_Mainz
37,"Petilinus
","
","
",,"https://de.wikipedia.org/""/wiki/Petilinus",0,Liste_der_Bischöfe_von_Mainz
38,"Lanwaldus
",um 650,"
",,"https://de.wikipedia.org/""/wiki/Lanwaldus",0,Liste_der_Bischöfe_von_Mainz
39,"Laboaldus
","
",nach 661,,"https://de.wikipedia.org/""/wiki/Laboaldus",0,Liste_der_Bischöfe_von_Mainz
40,"Rigibertus
",708,724,,"https://de.wikipedia.org/""/wiki/Rigibertus_(Mainz)",0,Liste_der_Bischöfe_von_Mainz
41,"Geroldus
",724,743,,"https://de.wikipedia.org/""/wiki/Geroldus_(Mainz)",0,Liste_der_Bischöfe_von_Mainz
42,"Gewiliobus
",744,745,,"https://de.wikipedia.org/""/wiki/Gewiliobus",0,Liste_der_Bischöfe_von_Mainz
43,"Bonifatius (persönlicher Erzbischofs-Titel)
",745,754,,,1,Liste_der_Bischöfe_von_Mainz
44,"Lullus (Lul) (erster Erzbischof des neu geschaffenen Erzbistums)
",755,786,,,1,Liste_der_Bischöfe_von_Mainz
45,"Richulf
",787,813,,,1,Liste_der_Bischöfe_von_Mainz
46,"Haistulph
",813,825,,,1,Liste_der_Bischöfe_von_Mainz
47,"Otgar
",826,847,,,1,Liste_der_Bischöfe_von_Mainz
48,"Rabanus Maurus
",847,856,,,1,Liste_der_Bischöfe_von_Mainz
49,"Karl von Aquitanien (Karolinger)
",856,863,,,1,Liste_der_Bischöfe_von_Mainz
50,"Liutbert (Erzkanzler)
",863,889,,,1,Liste_der_Bischöfe_von_Mainz
51,"Sunderold
",889,891,,,1,Liste_der_Bischöfe_von_Mainz
52,"Hatto I.
",891,913,,,1,Liste_der_Bischöfe_von_Mainz
53,"Heriger
",913,927,,,1,Liste_der_Bischöfe_von_Mainz
54,"Hildebert
",927,937,,,1,Liste_der_Bischöfe_von_Mainz
55,"Friedrich
",937,954,,,1,Liste_der_Bischöfe_von_Mainz
56,"Wilhelm (Liudolfinger)
",954,968,,,1,Liste_der_Bischöfe_von_Mainz
57,"Hatto II.
",968,970,,,1,Liste_der_Bischöfe_von_Mainz
58,"Ruprecht
",970,975,,,1,Liste_der_Bischöfe_von_Mainz
59,"Willigis
",975,1011,,,1,Liste_der_Bischöfe_von_Mainz
60,"Erkanbald
",1011,1021,,,1,Liste_der_Bischöfe_von_Mainz
61,"Aribo
",1021,1031,,,1,Liste_der_Bischöfe_von_Mainz
62,"Bardo
",1031,1051,,,1,Liste_der_Bischöfe_von_Mainz
63,"Luitpold I.
",1051,1059,,,1,Liste_der_Bischöfe_von_Mainz
64,"Siegfried I.
",1059,1084,,,1,Liste_der_Bischöfe_von_Mainz
65,"Wezilo
",1084,1088,,,1,Liste_der_Bischöfe_von_Mainz
66,"Ruthard
",1088,1109,,,1,Liste_der_Bischöfe_von_Mainz
67,"Adalbert I. von Saarbrücken (Saargaugrafen)
",1111,1137,,,1,Liste_der_Bischöfe_von_Mainz
68,"Adalbert II. von Saarbrücken (Saargaugrafen)
",1138,1141,,,1,Liste_der_Bischöfe_von_Mainz
69,"Markolf
",1141,1142,,,1,Liste_der_Bischöfe_von_Mainz
70,"Heinrich I. von Mainz
",1142,1153,,,1,Liste_der_Bischöfe_von_Mainz
71,"Arnold von Selenhofen
",1153,1160,,,1,Liste_der_Bischöfe_von_Mainz
72,"Rudolf von Zähringen
",1160," 
",,,1,Liste_der_Bischöfe_von_Mainz
73,"Christian I. von Buch
",1160,1161,,,1,Liste_der_Bischöfe_von_Mainz
74,"Konrad I. von Wittelsbach
",1161,1165,,,1,Liste_der_Bischöfe_von_Mainz
75,"Christian I. von Buch
",1165,1183,,,1,Liste_der_Bischöfe_von_Mainz
76,Konrad I. von Wittelsbach (seit 1166 Kardinal),1183,1200,,,1,Liste_der_Bischöfe_von_Mainz
77,Leopold II. von Schönfeld (Schisma bis 1208),1200,1208,,,1,Liste_der_Bischöfe_von_Mainz
78,Siegfried II. von Eppstein (Schisma bis 1208),1200,1230,,,1,Liste_der_Bischöfe_von_Mainz
79,"Siegfried III. von Eppstein
",1230,1249,,,1,Liste_der_Bischöfe_von_Mainz
80,"Christian II. von Bolanden
",1249,1251,,,1,Liste_der_Bischöfe_von_Mainz
81,"Gerhard I. von Dhaun
",1251,1259,,,1,Liste_der_Bischöfe_von_Mainz
82,"Werner von Eppstein
",1259,1284,,,1,Liste_der_Bischöfe_von_Mainz
83,"Heinrich II. von Isny
",1286,1288,,,1,Liste_der_Bischöfe_von_Mainz
84,"Gerhard II. von Eppstein
",1288,1305,,,1,Liste_der_Bischöfe_von_Mainz
85,"Peter von Aspelt
",1306,1320,,,1,Liste_der_Bischöfe_von_Mainz
86,"Matthias von Buchegg
",1321,1328,,,1,Liste_der_Bischöfe_von_Mainz
87,"Balduin von Luxemburg (Administrator)
",1328,1337,,,1,Liste_der_Bischöfe_von_Mainz
88,"Heinrich III. von Virneburg
",1328,1346/1353 (1346–1353 Schisma),,,1,Liste_der_Bischöfe_von_Mainz
89,"Gerlach von Nassau
",1346/1353 (1346–1353 Schisma),1371,,,1,Liste_der_Bischöfe_von_Mainz
90,"Johann von Luxemburg-Ligny
",1371,1373,,,1,Liste_der_Bischöfe_von_Mainz
91,"Ludwig von Meißen
",1374,1381,,,1,Liste_der_Bischöfe_von_Mainz
92,"Adolf I. von Nassau
",1381,1390,,,1,Liste_der_Bischöfe_von_Mainz
