name,from,to,biography,biography_eng,url,bishop_type,orig_url_page
"Nidker
",816,830,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Udalmann
",830,832,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Lanto
",833,860,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Witgar
",861,887,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Adalbero
",887,909,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hiltin
",909,923,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Ulrich I.
",923,973,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich I.
",973,982,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Eticho
",982,988,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Liutold
",988,996,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Gebehard
",996,1000,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried I.
",1001,1006,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Bruno
",1006,1029,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Eberhard I.
",1029,1047,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich II.
",1047,1063,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Embrico
",1063,1077,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Wigolt
",1077,1088,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried II.
",1088,1096,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hermann von Vohburg
",1096,1133,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Walter I. von Dillingen
",1133,1152,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Konrad von Hirscheck
",1152,1167,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hartwig I. von Lierheim
",1167,1184,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Udalschalk
",1184,1202,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hartwig II.
",1202,1208,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried III. von Rechberg
",1208,1227,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siboto von Seefeld
",1227,1247,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Hartmann von Dillingen
",1248,1286,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Siegfried IV. von Algertshausen
",1286,1288,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Wolfhard von Roth
",1288,1302,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Degenhard von Hellenstein
",1303,1307,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Friedrich I. Spät von Faimingen
",1309,1331,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Ulrich II. von Schönegg
",1331,1337,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich III. von Schönegg
",1337,1348,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Marquard I. von Randeck
",1348,1365,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Walter II. von Hochschlitz
",1365,1369,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann Schadland
",1371,1372,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Burkhard von Ellerbach
",1373,1404,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Eberhard II. von Kirchberg
",1404,1413,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Friedrich von Grafeneck
",1413,1414,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Anselm von Nenningen
",1414,1423,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Peter von Schaumberg
",1424,1469,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Johann II. von Werdenberg
",1469,1486,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Friedrich II. von Zollern
",1486,1505,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
"Heinrich IV. von Lichtenau
",1505,1517,,,,0,Liste_der_Bisch%C3%B6fe_von_Augsburg
